issue_id	path	collections	ext	name	series_name	volume	year	issue_no	confidence
48	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)/8- Bruce Wayne - The Road Home - Ra's al Ghul 01 (2010) (Minutemen-Oracle).cbr	['Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Bruce Wayne - The Road Home - Ra's al Ghul 01	Bruce Wayne - The Road Home - Ra's al Ghul	-1	2010	1	0	75
49	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)/1- Bruce Wayne - The Road Home - Batman and Robin 01 (2010) (Minutemen-Castalia).cbz	['Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbz	Bruce Wayne - The Road Home - Batman and Robin 01	Bruce Wayne - The Road Home - Batman and Robin	-1	2010	1	0	75
50	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)/4- Bruce Wayne - The Road Home - Outsiders 01 (2010) (Minutemen-Oracle).cbr	['Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Bruce Wayne - The Road Home - Outsiders 01	Bruce Wayne - The Road Home - Outsiders	-1	2010	1	0	75
51	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)/2- Bruce Wayne - The Road Home - Red Robin (2010) (Minutemen-DTermined).cbr	['Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Bruce Wayne - The Road Home - Red Robin	Bruce Wayne - The Road Home - Red Robin	-1	2010	1	0	0
52	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)/7- Bruce Wayne - The Road Home - Oracle 01 (2010) (Minutemen-Oracle&ThosTew).cbz	['Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbz	Bruce Wayne - The Road Home - Oracle 01	Bruce Wayne - The Road Home - Oracle	-1	2010	1	0	75
53	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)/3- Bruce Wayne - The Road Home - Batgirl 01 (2010) (Minutemen-Oracle&ThosTew).cbz	['Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbz	Bruce Wayne - The Road Home - Batgirl 01	Bruce Wayne - The Road Home - Batgirl	-1	2010	1	0	75
54	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)/5- Bruce Wayne - The Road Home - Catwoman 01 (2010) (Minutemen-Oracle&ThosTew).cbz	['Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbz	Bruce Wayne - The Road Home - Catwoman 01	Bruce Wayne - The Road Home - Catwoman	-1	2010	1	0	75
55	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Cacophony (001-003)(2009) (digital) (Minutemen-PhD)/Batman Cacophony 03 (of 03) (2009) (3 covers) (digital) (Minutemen-PhD).cbr	['Cacophony (001-003)(2009) (digital) (Minutemen-PhD)', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Batman Cacophony 03 (of 03)	Batman Cacophony	-1	2009	3	0	100
56	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Cacophony (001-003)(2009) (digital) (Minutemen-PhD)/Batman Cacophony 01 (of 03) (2009) (3 covers) (digital) (Minutemen-PhD).cbr	['Cacophony (001-003)(2009) (digital) (Minutemen-PhD)', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Batman Cacophony 01 (of 03)	Batman Cacophony	-1	2009	1	0	100
57	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Cacophony (001-003)(2009) (digital) (Minutemen-PhD)/Batman Cacophony 02 (of 03) (2009) (3 covers) (digital) (Minutemen-PhD).cbr	['Cacophony (001-003)(2009) (digital) (Minutemen-PhD)', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Batman Cacophony 02 (of 03)	Batman Cacophony	-1	2009	2	0	100
58	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Batman-Huntress/Batman Huntress & Spoiler - Blunt Trauma (1998).cbr	['Batman-Huntress', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Batman Huntress & Spoiler - Blunt Trauma	Batman Huntress & Spoiler - Blunt Trauma	-1	1998	1	0	0
